Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2020/11/19,19041.631,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/10/12,19041.1288,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/02/09,19041.804,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2022/03/15,19041.1586,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2022/01/11,19042.1466,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/06/08,19041.1052,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/08/10,19041.1165,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/05/11,19041.985,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1607,Pro,2016/11/08,14393.447,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,1903,Pro,2020/10/13,18362.1139,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
