Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,1909,Pro,2020/07/14,18363.959,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,1909,Pro,2020/06/09,18363.9,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,1909,Pro,2020/05/12,18363.836,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,1909,Pro,2020/04/14,18363.778,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,1909,Pro,2020/03/12,18363.72,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,1909,Pro,2020/02/11,18363.657,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,1909,Pro,2020/01/14,18363.592,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
