Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2021/04/13,18363.15,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2021/03/09,18363.144,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2020/07/14,18362.959,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2020/05/12,18362.836,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2020/03/12,18362.72,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2020/02/11,18362.657,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2019/12/10,18362.535,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2019/11/12,18362.476,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2019/09/10,18362.356,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2019/03/29,18362.3,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1903,Pro,2019/07/09,18362.239,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
