Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,{process}: {payload},{process} | {payload}
