Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/05/12,18363.836,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/04/14,18363.778,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/03/12,18363.72,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/02/11,18363.657,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/01/14,18363.592,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2019/12/10,18363.535,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2019/10/05,18363.418,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2021/06/08,18363.1621,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2021/05/11,18363.1556,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2021/04/13,18363.15,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2021/03/09,18363.144,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2021/02/11,18363.1379,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2021/01/12,18363.1316,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/12/08,18363.1256,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/11/10,18363.1198,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/10/13,18363.1139,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/09/08,18363.1082,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/08/11,18363.1016,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1903,Pro,2020/07/14,18362.959,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1903,Pro,2020/05/12,18362.836,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1903,Pro,2020/03/12,18362.72,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1903,Pro,2020/02/11,18362.657,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
