Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/10/12,19041.1288,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/09/14,19041.1237,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/09/14,19041.1237,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/08/10,19041.1165,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/08/10,19041.1165,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/07/13,19041.111,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/07/13,19041.111,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/06/08,19041.1052,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/06/08,19041.1052,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2020/07/14,18363.959,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2020/06/09,18363.9,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2020/05/12,18363.836,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2020/04/14,18363.778,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2020/03/12,18363.72,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2020/02/11,18363.657,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2020/01/14,18363.592,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2019/12/10,18363.535,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,1909,Pro,2019/10/05,18363.418,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
