Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2022/04/19,19043.1645,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2022/01/11,19043.1466,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2021/12/14,19043.1415,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2021/12/14,19043.1415,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2021/11/09,19043.1348,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2021/10/12,19043.1288,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2021/09/14,19043.1237,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2021/08/10,19043.1165,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2021/07/13,19043.111,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2021/06/08,19043.1052,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2022/04/19,19042.1645,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2022/01/11,19042.1466,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2021/05/11,19041.985,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,2004,Pro,2021/05/11,19041.985,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2021/04/13,19041.928,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,2004,Pro,2021/04/13,19041.928,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2021/03/09,19041.867,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,2004,Pro,2021/03/09,19041.867,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2021/02/09,19041.804,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,2004,Pro,2021/02/09,19041.804,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2021/01/12,19041.746,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,2004,Pro,2021/01/12,19041.746,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2020/12/08,19041.685,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,2004,Pro,2020/12/08,19041.685,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,20H2,Pro,2020/11/19,19041.631,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,2004,Pro,2020/11/10,19041.63,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,2004,Pro,2020/10/13,19041.572,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
