Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2021/05/11,19041.985,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2021/04/13,19041.928,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2021/03/09,19041.867,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2021/02/09,19041.804,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2021/01/12,19041.746,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/12/08,19041.685,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/11/10,19041.63,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/10/13,19041.572,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/09/08,19041.508,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/08/11,19041.45,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/07/14,19041.388,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/06/09,19041.329,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/05/27,19041.264,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2020/04/16,19041.208,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
