Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2020/12/08,18362.1256,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2020/11/10,18362.1198,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2020/10/13,18362.1139,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2020/09/08,18362.1082,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2019/12/10,18362.1016,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1809,Pro,2020/01/14,17763.973,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1809,Pro,2019/12/10,17763.914,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1809,Pro,2019/11/12,17763.864,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1809,Pro,2019/10/08,17763.805,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
