Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2021/05/11,19041.985,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2021/05/11,19041.985,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2021/04/13,19041.928,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2021/04/13,19041.928,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2021/03/09,19041.867,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2021/03/09,19041.867,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2021/02/09,19041.804,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2021/02/09,19041.804,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2021/01/12,19041.746,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2021/01/12,19041.746,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2020/12/08,19041.685,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2020/12/08,19041.685,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,20H2,Pro,2020/11/19,19041.631,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2020/11/10,19041.63,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2020/10/13,19041.572,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2020/09/08,19041.508,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2020/08/11,19041.45,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2020/07/14,19041.388,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,2004,Pro,2020/06/09,19041.329,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
