Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/10/18,19043.213,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/09/20,19043.2006,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/08/16,19043.1889,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/07/19,19043.1826,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/06/21,19043.1766,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/05/17,19043.1706,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/04/19,19043.1645,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/01/11,19043.1466,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2021/12/14,19043.1415,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2021/12/14,19043.1415,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2021/11/09,19043.1348,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2021/10/12,19043.1288,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2021/09/14,19043.1237,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
