Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2021/06/08,19041.1052,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2020/07/14,18363.959,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2020/06/09,18363.9,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2020/05/12,18363.836,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2020/04/14,18363.778,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2020/03/12,18363.72,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2020/02/11,18363.657,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2020/01/14,18363.592,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2019/12/10,18363.535,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2019/10/05,18363.418,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2021/06/08,18363.1621,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2021/05/11,18363.1556,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2021/04/13,18363.15,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,1909,Pro,2021/03/09,18363.144,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
