Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
16384,0,Information,,,,,Windows 10,1909,Pro,2019/12/10,18363.535,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2019/10/05,18363.418,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2021/04/13,18363.15,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2021/03/09,18363.144,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2020/07/14,18362.959,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2020/05/12,18362.836,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2020/03/12,18362.72,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2020/02/11,18362.657,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2019/12/10,18362.535,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2019/11/12,18362.476,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2019/09/10,18362.356,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2019/03/29,18362.3,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2019/07/09,18362.239,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2019/06/11,18362.175,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
