Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2019/12/10,18362.1016,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2020/01/14,17763.973,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2020/01/14,17763.973,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2019/12/10,17763.914,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/12/10,17763.914,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2019/11/12,17763.864,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/11/12,17763.864,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/10/08,17763.805,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2019/09/10,17763.737,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/09/10,17763.737,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2019/08/13,17763.678,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/08/13,17763.678,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/07/09,17763.615,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/06/11,17763.557,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/05/19,17763.504,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/04/09,17763.437,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2019/03/12,17763.379,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/03/12,17763.379,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2019/02/12,17763.316,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1803,Pro,2019/01/08,17763.253,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2018/12/11,17763.194,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2020/10/13,17763.1518,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2020/09/08,17763.1457,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1809,Pro,2020/08/11,17763.1397,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
